u'\U0001f602',0.221
u'\U0001f629',-0.368
u'\U0001f60d',0.678
u'\U0001f62d',-0.093
u'\U0001f612',-0.374
u'\U0001f60a',0.644
u'\U0001f64c',0.559
u'\U0001f618',0.701
u'\U0001f4af',0.12
u'\U0001f44c',0.563
u'\U0001f601',0.449
u'\U0001f634',-0.08
u'\U0001f495',0.632
u'\U0001f44f',0.52
u'\U0001f3b6',0.537
u'\U0001f614',-0.146
u'\U0001f60f',0.332
u'\U0001f633',0.018
u'\U0001f389',0.738
u'\U0001f60b',0.631
u'\U0001f498',0.683
u'\U0001f60e',0.491
u'\U0001f60c',0.482
u'\U0001f621',-0.173
u'\U0001f611',-0.311
u'\U0001f62b',-0.145
u'\U0001f44d',0.521
u'\U0001f49b',0.709
u'\U0001f61c',0.455
u'\U0001f624',-0.209
u'\U0001f499',0.73
u'\U0001f615',-0.397
u'\U0001f4aa',0.555
u'\U0001f483',0.734
u'\U0001f605',0.178
u'\U0001f48b',0.691
u'\U0001f496',0.712
u'\U0001f384',0.531
u'\U0001f480',-0.207
u'\U0001f490',0.735
u'\U0001f49c',0.654
u'\U0001f388',0.718
u'\U0001f37b',0.512
u'\U0001f604',0.412
u'\U0001f38a',0.721
u'\U0001f49e',0.739
u'\U0001f497',0.657
u'\U0001f381',0.759
u'\U0001f637',-0.169
u'\U0001f622',0.007
u'\U0001f61e',-0.118
u'\U0001f52b',-0.194
u'\U0001f623',-0.212
u'\U0001f616',-0.155
u'\U0001f610',-0.388
u'\U0001f62a',-0.08
u'\U0001f620',-0.299
u'\U0001f494',-0.121
u'\U0001f44a',0.228
u'\U0001f645',-0.202
u'\U0001f4a6',0.471
u'\U0001f631',0.19
u'\U0001f613',-0.08
